,location_id,date,relative_humidity_2m_previous_day1,relative_humidity_2m_previous_day2,relative_humidity_2m_previous_day3,relative_humidity_2m_previous_day4,relative_humidity_2m_previous_day5,relative_humidity_2m_previous_day6,relative_humidity_2m_previous_day7,us_aqi
0,2,2024-09-24 00:00:00+00:00,96,91,94,89,84,77,56,110.604164
1,2,2024-09-24 01:00:00+00:00,97,93,90,90,86,79,56,111.01041
2,2,2024-09-24 02:00:00+00:00,96,96,86,92,87,80,55,111.39582
3,2,2024-09-24 03:00:00+00:00,96,96,93,89,85,78,55,111.86458
4,2,2024-09-24 04:00:00+00:00,84,91,87,78,74,70,54,112.479164
5,2,2024-09-24 05:00:00+00:00,70,73,70,62,59,58,52,113.20833
6,2,2024-09-24 06:00:00+00:00,60,53,51,48,47,49,56,114.12499
7,2,2024-09-24 07:00:00+00:00,47,44,43,40,39,45,52,115.239586
8,2,2024-09-24 08:00:00+00:00,35,37,35,36,34,44,49,116.41667
9,2,2024-09-24 09:00:00+00:00,33,38,33,34,31,44,47,131.25
10,2,2024-09-24 10:00:00+00:00,28,36,32,33,29,45,46,136.35204
11,2,2024-09-24 11:00:00+00:00,28,35,27,34,29,47,47,132.5255
12,2,2024-09-24 12:00:00+00:00,36,30,30,30,41,34,51,118.49489
13,2,2024-09-24 13:00:00+00:00,37,35,34,38,46,41,55,116.12502
14,2,2024-09-24 14:00:00+00:00,42,41,41,50,54,51,59,115.52084
15,2,2024-09-24 15:00:00+00:00,56,53,55,60,61,60,63,115.187515
16,2,2024-09-24 16:00:00+00:00,68,64,66,68,66,67,64,115.0625
17,2,2024-09-24 17:00:00+00:00,73,71,72,76,70,74,65,115.00001
18,2,2024-09-24 18:00:00+00:00,72,76,86,78,73,79,66,114.947914
19,2,2024-09-24 19:00:00+00:00,75,81,86,82,74,83,67,115.03126
20,2,2024-09-24 20:00:00+00:00,74,76,84,86,73,86,67,115.35417
21,2,2024-09-24 21:00:00+00:00,68,70,82,87,72,88,67,115.87499
22,2,2024-09-24 22:00:00+00:00,65,70,83,86,71,88,67,116.57293
23,2,2024-09-24 23:00:00+00:00,64,69,83,83,70,87,67,117.354164
24,2,2024-09-25 00:00:00+00:00,60,75,83,85,58,70,68,118.03124
25,2,2024-09-25 01:00:00+00:00,57,76,80,82,55,68,67,119.0104
26,2,2024-09-25 02:00:00+00:00,51,74,78,78,54,66,65,119.635414
27,2,2024-09-25 03:00:00+00:00,50,66,76,73,54,62,62,119.53125
28,2,2024-09-25 04:00:00+00:00,55,64,69,66,55,55,56,118.875
29,2,2024-09-25 05:00:00+00:00,63,56,52,57,56,46,49,118.37499
30,2,2024-09-25 06:00:00+00:00,58,48,45,63,57,39,39,118.11458
31,2,2024-09-25 07:00:00+00:00,56,56,43,59,55,34,34,117.71874
32,2,2024-09-25 08:00:00+00:00,52,52,44,55,52,30,29,116.989586
33,2,2024-09-25 09:00:00+00:00,50,49,50,52,50,28,27,116.28125
